Code,URL WIKI FR,URL WIKi EN,URL IMG,URL VERIF
Baudin132,https://fr.wikipedia.org/wiki/Fran%C3%A7ois-S%C3%A9verin_Marceau,https://en.wikipedia.org/wiki/Fran%C3%A7ois_S%C3%A9verin_Marceau-Desgraviers,,
Baudin133,https://fr.wikipedia.org/wiki/Trait%C3%A9_de_Leoben,https://en.wikipedia.org/wiki/Treaty_of_Leoben,https://commons.wikimedia.org/wiki/Special:FilePath/Trait%C3%A9_de_Leoben_Leoben_-_Leoben_Town_Museum_05.JPG?download,https://commons.wikimedia.org/wiki/File:Traité_de_Leoben_Leoben_-_Leoben_Town_Museum_05.JPG
Baudin134,https://fr.wikipedia.org/wiki/Bataille_de_Castiglione_(1796),https://en.wikipedia.org/wiki/Battle_of_Castiglione,https://commons.wikimedia.org/wiki/Special:FilePath/Bataille%20de%20Castiglione%20le%2016%20%28i.e.%2018%29%20thermidor%20an%204%20-%20estampe%20-%20dessin%C3%A9%20par%20Carle%20Vernet%20%3B%20grav%C3%A9%20%C3%A0%20l%27eau%20forte%20par%20Duplessi%20Bertaux%20%3B%20termin%C3%A9%20par%20Dupr%C3%A9el%20-%20btv1b84126038.jpg?download,https://commons.wikimedia.org/wiki/File:Bataille de Castiglione le 16 (i.e. 18) thermidor an 4 - estampe - dessiné par Carle Vernet ; gravé à l'eau forte par Duplessi Bertaux ; terminé par Dupréel - btv1b84126038.jpg
Baudin135,https://fr.wikipedia.org/wiki/Bataille_de_Mondovi_(1796),https://en.wikipedia.org/wiki/Battle_of_Mondov%C3%AC,https://commons.wikimedia.org/wiki/Special:FilePath/Bataille%20de%20Mondovi%2C%20le%203%20%28i.e.%202%29%20Floreal%2C%20An%204%20-%20estampe%20-%20Dessin%C3%A9%20par%20Carle%20Vernet%20%3B%20Grav%C3%A9%20%C3%A0%20l%27eau%20forte%20par%20Duplessi-Bertaux%20%3B%20Termin%C3%A9%20par%20L.J.%20Masquelier%20l%27ain%C3%A9%20-%20btv1b6953505z.jpg?download,"https://commons.wikimedia.org/wiki/File:Bataille de Mondovi, le 3 (i.e. 2) Floreal, An 4 - estampe - Dessiné par Carle Vernet ; Gravé à l'eau forte par Duplessi-Bertaux ; Terminé par L.J. Masquelier l'ainé - btv1b6953505z.jpg"
Baudin136,https://fr.wikipedia.org/wiki/Bataille_de_Bassano,https://en.wikipedia.org/wiki/Battle_of_Bassano,https://commons.wikimedia.org/wiki/Special:FilePath/Duplessis%20Bertaux%20-%20Combat%20de%20Bassano%20-%201796.jpg?download,https://commons.wikimedia.org/wiki/File:Duplessis Bertaux - Combat de Bassano - 1796.jpg
Baudin137,https://fr.wikipedia.org/wiki/Bataille_de_Millesimo,https://en.wikipedia.org/wiki/Battle_of_Millesimo,https://commons.wikimedia.org/wiki/Special:FilePath/Bataille%20de%20Millesimo%2C%20le%2025%20%28i.e.%2024%29%20Germinal%2C%20An%204%20-%20estampe%20-%20dessin%C3%A9%20par%20Carle%20Vernet%20%3B%20grav%C3%A9%20%C3%A0%20l%27eau%20forte%20par%20D.%20Bertaux%20%3B%20termin%C3%A9%20par%20Masquelier%20-%20btv1b69535034.jpg?download,"https://commons.wikimedia.org/wiki/File:Bataille de Millesimo, le 25 (i.e. 24) Germinal, An 4 - estampe - dessiné par Carle Vernet ; gravé à l'eau forte par D. Bertaux ; terminé par Masquelier - btv1b69535034.jpg"
Baudin138,https://fr.wikipedia.org/wiki/Bataille_de_Dego_(1796),https://en.wikipedia.org/wiki/Second_Battle_of_Dego,,
Baudin139,https://en.wikipedia.org/wiki/Battle_of_Voltri,https://en.wikipedia.org/wiki/Battle_of_Voltri,,
Baudin140,https://fr.wikipedia.org/wiki/Jacques-Auguste_de_Thou,https://en.wikipedia.org/wiki/Jacques_Auguste_de_Thou,https://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Auguste%20de%20Thou%20by%20Philippe%20Galle.jpg?download,https://commons.wikimedia.org/wiki/File:Jacques-Auguste de Thou by Philippe Galle.jpg
Baudin141,https://fr.wikipedia.org/wiki/Hugues-Bernard_Maret,"https://en.wikipedia.org/wiki/Hugues-Bernard_Maret,_duc_de_Bassano",https://commons.wikimedia.org/wiki/Special:FilePath/Maret%2C_H.-B._%281809%29_-_PA07453.jpg?download,"https://commons.wikimedia.org/wiki/File:Maret,_H.-B._(1809)_-_PA07453.jpg"
Baudin142,https://fr.wikipedia.org/wiki/Pierre_Gassendi,https://en.wikipedia.org/wiki/Pierre_Gassendi,https://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Gassendi.%20Engraving%20by%20Michel%20Lasne%20Wellcome%20L0016836.jpg?download,https://commons.wikimedia.org/wiki/File:Pierre Gassendi. Engraving by Michel Lasne Wellcome L0016836.jpg
Baudin143,https://fr.wikipedia.org/wiki/Guillaume-Thomas_Raynal,https://en.wikipedia.org/wiki/Guillaume-Thomas_Raynal,https://commons.wikimedia.org/wiki/Special:FilePath/Guillaume_Thomas_Raynal.png?download,https://commons.wikimedia.org/wiki/File:Guillaume_Thomas_Raynal.png
Baudin144,https://fr.wikipedia.org/wiki/Joseph-Louis_Lagrange,https://en.wikipedia.org/wiki/Joseph-Louis_Lagrange,https://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Louis%20Lagrange.%20Stipple%20engraving%20by%20R.%20Hart.%20Wellcome%20V0003311.jpg?download,https://commons.wikimedia.org/wiki/File:Joseph Louis Lagrange. Stipple engraving by R. Hart. Wellcome V0003311.jpg
Baudin145,https://fr.wikipedia.org/wiki/Jean-Baptiste_Nomp%C3%A8re_de_Champagny,https://en.wikipedia.org/wiki/Jean-Baptiste_de_Nomp%C3%A8re_de_Champagny,https://commons.wikimedia.org/wiki/Special:FilePath/CHAMPAGNY%20%28J.%20B.%20NOMPERE%29%5E1%2C%20duc%20de%20CADORE.jpg?download,"https://commons.wikimedia.org/wiki/File:CHAMPAGNY (J. B. NOMPERE)^1, duc de CADORE.jpg"
Baudin146,,,,
Baudin147,,,,
Baudin148,,,,
Baudin149,,,https://commons.wikimedia.org/wiki/Special:FilePath/Henri-Jacques-Guillaume%20Clarke%2C%20Duc%20de%20Feltre.png?download,"https://commons.wikimedia.org/wiki/File:Henri-Jacques-Guillaume Clarke, Duc de Feltre.png"
Baudin150,https://fr.wikipedia.org/wiki/Joseph-Marie_de_G%C3%A9rando,"https://en.wikipedia.org/wiki/Joseph_Marie,_baron_de_G%C3%A9rando",https://commons.wikimedia.org/wiki/Special:FilePath/Henri%20de%20la%20Tour%20d%27Auvergne%2C%20Vicomte%20de%20Turenne.jpg?download,"https://commons.wikimedia.org/wiki/File:Henri de la Tour d'Auvergne, Vicomte de Turenne.jpg"
Baudin151,,,,
Baudin152,https://fr.wikipedia.org/wiki/Famille_Walsh_de_Serrant,,,
Baudin153,https://fr.wikipedia.org/wiki/Gilles_Joseph_Martin_Bruneteau_de_Sainte-Suzanne,https://en.wikipedia.org/wiki/Gilles_Joseph_Martin_Bruneteau_de_Sainte-Suzanne,,
Baudin154,https://fr.wikipedia.org/wiki/Marguerite-Victoire_Babois,,,
Baudin155,https://fr.wikipedia.org/wiki/Antoine-Jean_Amelot_de_Chaillou,https://en.wikipedia.org/wiki/Antoine-Jean_Amelot_de_Chaillou,https://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20de%20Catinat%2C%20PA09008.jpg?download,"https://commons.wikimedia.org/wiki/File:Nicolas de Catinat, PA09008.jpg"
Baudin156,https://fr.wikipedia.org/wiki/Jean-Baptiste_Colbert,https://en.wikipedia.org/wiki/Jean-Baptiste_Colbert,https://commons.wikimedia.org/wiki/Special:FilePath/Velyn%20-%20Louis-Philippe%20de%20S%C3%A9gur%2C%20comte%20de%20l%27Empire%2C%20n%C3%A9%20le%2010%20septembre%201753%20%C3%A0%20Paris.jpg?download,"https://commons.wikimedia.org/wiki/File:Velyn - Louis-Philippe de Ségur, comte de l'Empire, né le 10 septembre 1753 à Paris.jpg"
Baudin157,https://fr.wikipedia.org/wiki/G%C3%A9raud_Christophe_Michel_Duroc,https://en.wikipedia.org/wiki/G%C3%A9raud_Duroc,,
Baudin158,https://fr.wikipedia.org/wiki/Louis-Alexandre_Berthier,https://en.wikipedia.org/wiki/Louis-Alexandre_Berthier,https://commons.wikimedia.org/wiki/Special:FilePath/Jean-Pierre%20Claris%20de%20Florian%20by%20Alexis%20Nicolas%20No%C3%ABl.jpg?download,https://commons.wikimedia.org/wiki/File:Jean-Pierre Claris de Florian by Alexis Nicolas Noël.jpg
Baudin159,https://fr.wikipedia.org/wiki/Henri-Jacques-Guillaume_Clarke,"https://en.wikipedia.org/wiki/Henri_Jacques_Guillaume_Clarke,_duc_de_Feltre",,
Baudin160,https://fr.wikipedia.org/wiki/Bataille_d%27Aboukir_(1799),https://en.wikipedia.org/wiki/Battle_of_Abukir_(1799),https://commons.wikimedia.org/wiki/Special:FilePath/Antoine%20Laurent%20de%20Jussieu%20-%20N.%20Roger%20%28sculp.%29%20after%20Ambroise%20Tardieu%20L0017621.jpg?download,https://commons.wikimedia.org/wiki/File:Antoine Laurent de Jussieu - N. Roger (sculp.) after Ambroise Tardieu L0017621.jpg
Baudin161,https://fr.wikipedia.org/wiki/Bataille_de_Marengo,https://en.wikipedia.org/wiki/Battle_of_Marengo,https://commons.wikimedia.org/wiki/Special:FilePath/Antoine%20Lavoisier%20by%20Louis%20Jean%20Desprez%20Wellcome%20V0008333.jpg?download,https://commons.wikimedia.org/wiki/File:Antoine Lavoisier by Louis Jean Desprez Wellcome V0008333.jpg
Baudin162,https://fr.wikipedia.org/wiki/Bataille_de_La_Favorite,https://en.wikipedia.org/wiki/Battle_of_La_Favorita,https://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Nicolas%20Vauquelin%2C%201763-1829%20-%20D.%20G.%20Levasseur%20%28engraver%29.%20Wellcome%20L0008506.jpg?download,"https://commons.wikimedia.org/wiki/File:Louis Nicolas Vauquelin, 1763-1829 - D. G. Levasseur (engraver). Wellcome L0008506.jpg"
Baudin163,https://fr.wikipedia.org/wiki/Bataille_de_Rivoli_(1797),https://en.wikipedia.org/wiki/Battle_of_Rivoli,https://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Pitton%20de%20Tournefort.%20Line%20engraving%20by%20J.%20E.%20Ozanne%20Wellcome%20V0008505.jpg?download,https://commons.wikimedia.org/wiki/File:Joseph Pitton de Tournefort. Line engraving by J. E. Ozanne Wellcome V0008505.jpg
Baudin164,https://fr.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne_(vicomte_de_Turenne),"https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne,_Vicomte_de_Turenne",https://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Bernard%20Guyton%20de%20Morveau%20c.1805.jpg?download,https://commons.wikimedia.org/wiki/File:Louis Bernard Guyton de Morveau c.1805.jpg
Baudin165,https://fr.wikipedia.org/wiki/Louis_d%27Assas,https://en.wikipedia.org/wiki/Louis_d%27Assas,https://commons.wikimedia.org/wiki/Special:FilePath/Lazare%20Carnot.%20Line%20engraving%20by%20Bocquet%20after%20a%20painting%20by%20Bouillon%20Wellcome%20L0041849.jpg?download,https://commons.wikimedia.org/wiki/File:Lazare Carnot. Line engraving by Bocquet after a painting by Bouillon Wellcome L0041849.jpg
Baudin166,https://fr.wikipedia.org/wiki/Jean-Baptiste_de_Valbelle,https://en.wikipedia.org/wiki/Jean-Baptiste_de_Valbelle,https://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Jean%20Baptiste%20Bourguignon%20d%27Anville%2C%203047.tif?download,"https://commons.wikimedia.org/wiki/File:Portret van Jean Baptiste Bourguignon d'Anville, 3047.tif"
Baudin167,https://fr.wikipedia.org/wiki/Pierre_de_Villars,https://en.wikipedia.org/wiki/Pierre_de_Villars,,
Baudin168,https://fr.wikipedia.org/wiki/Maison_de_Montmorency,https://en.wikipedia.org/wiki/House_of_Montmorency,,
Baudin169,https://fr.wikipedia.org/wiki/Nicolas_de_Catinat,https://en.wikipedia.org/wiki/Nicolas_Catinat,https://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Louis%20Maupertuis%20by%20Hopwood%2C%201830b%20Wellcome%20L0014937.jpg?download,"https://commons.wikimedia.org/wiki/File:Pierre Louis Maupertuis by Hopwood, 1830b Wellcome L0014937.jpg"
Baudin170,https://fr.wikipedia.org/wiki/Napol%C3%A9on_Ier,https://en.wikipedia.org/wiki/Napoleon,,
Baudin171,https://fr.wikipedia.org/wiki/Louis-Philippe_de_S%C3%A9gur,"https://en.wikipedia.org/wiki/Louis-Philippe,_comte_de_S%C3%A9gur",,
Baudin172,https://fr.wikipedia.org/wiki/Jean-Baptiste-Joseph_Willart_de_Gr%C3%A9court,https://en.wikipedia.org/wiki/Jean-Baptiste-Joseph_Willart_de_Gr%C3%A9court,,
Baudin173,https://fr.wikipedia.org/wiki/Jean-Pierre_Claris_de_Florian,https://en.wikipedia.org/wiki/Jean-Pierre_Claris_de_Florian,,
Baudin174,https://fr.wikipedia.org/wiki/Jean-Fran%C3%A7ois_de_Saint-Lambert,https://en.wikipedia.org/wiki/Jean-Fran%C3%A7ois_de_Saint-Lambert,,
Baudin175,https://fr.wikipedia.org/wiki/Antoine-Laurent_de_Jussieu,https://en.wikipedia.org/wiki/Antoine_Laurent_de_Jussieu,https://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Louis%20de%20La%20Caille.%20Line%20engraving%20by%20G.%20H.%20Wellcome%20V0003289.jpg?download,https://commons.wikimedia.org/wiki/File:Nicolas Louis de La Caille. Line engraving by G. H. Wellcome V0003289.jpg
Baudin176,https://fr.wikipedia.org/wiki/Antoine_Lavoisier,https://en.wikipedia.org/wiki/Antoine_Lavoisier,https://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Chapp%C3%A9%20d%27Auteroche.%20Line%20engraving%20by%20J.%20B.%20Tilliard%2C%201%20Wellcome%20V0001066.jpg?download,"https://commons.wikimedia.org/wiki/File:Jean Chappé d'Auteroche. Line engraving by J. B. Tilliard, 1 Wellcome V0001066.jpg"
Baudin177,https://fr.wikipedia.org/wiki/Louis-Nicolas_Vauquelin,https://en.wikipedia.org/wiki/Louis-Nicolas_Vauquelin,https://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20de%20Fermat%20%28F.%20Poilly%29.jpg?download,https://commons.wikimedia.org/wiki/File:Pierre de Fermat (F. Poilly).jpg
Baudin178,https://fr.wikipedia.org/wiki/Joseph_Pitton_de_Tournefort,https://en.wikipedia.org/wiki/Joseph_Pitton_de_Tournefort,,
Baudin179,https://fr.wikipedia.org/wiki/Louis-Bernard_Guyton-Morveau,https://en.wikipedia.org/wiki/Louis-Bernard_Guyton_de_Morveau,https://commons.wikimedia.org/wiki/Special:FilePath/Guillaume%20Marie%20Anne%2C%20comte%20Brune%2C%20marechal%20de%20France.jpg?download,"https://commons.wikimedia.org/wiki/File:Guillaume Marie Anne, comte Brune, marechal de France.jpg"
Baudin180,https://fr.wikipedia.org/wiki/Lazare_Carnot,https://en.wikipedia.org/wiki/Lazare_Carnot,https://commons.wikimedia.org/wiki/Special:FilePath/BOYER%201328%20-%20La%20Tour%20d%27Auvergne.jpg?download,https://commons.wikimedia.org/wiki/File:BOYER 1328 - La Tour d'Auvergne.jpg
Baudin181,https://fr.wikipedia.org/wiki/Jean-Baptiste_Bourguignon_d%27Anville,https://en.wikipedia.org/wiki/Jean_Baptiste_Bourguignon_d%27Anville,https://commons.wikimedia.org/wiki/Special:FilePath/Portrait_of_Rene_Louiche_Desfontaines_Wellcome_L0016366.jpg?download,https://commons.wikimedia.org/wiki/File:Portrait_of_Rene_Louiche_Desfontaines_Wellcome_L0016366.jpg
Baudin182,https://fr.wikipedia.org/wiki/Jean-Jacques_Dortous_de_Mairan,https://en.wikipedia.org/wiki/Jean-Jacques_d%27Ortous_de_Mairan,https://commons.wikimedia.org/wiki/Special:FilePath/Jean_Babtiste_Joseph_Delambre_AGE_V01_1798.jpg?download,https://commons.wikimedia.org/wiki/File:Jean_Babtiste_Joseph_Delambre_AGE_V01_1798.jpg
Baudin183,https://fr.wikipedia.org/wiki/Louis_Feuill%C3%A9e,https://en.wikipedia.org/wiki/Louis_Feuill%C3%A9e,https://commons.wikimedia.org/wiki/Special:FilePath/Montgolfier%20brothers%20flight.jpg?download,https://commons.wikimedia.org/wiki/File:Montgolfier brothers flight.jpg
Baudin184,https://fr.wikipedia.org/wiki/Pierre_Louis_Moreau_de_Maupertuis,https://en.wikipedia.org/wiki/Pierre_Louis_Maupertuis,,
Baudin185,https://fr.wikipedia.org/wiki/Alexandre_Guy_Pingr%C3%A9,https://en.wikipedia.org/wiki/Alexandre_Guy_Pingr%C3%A9,,
Baudin186,https://fr.wikipedia.org/wiki/Pierre-Simon_de_Laplace,https://en.wikipedia.org/wiki/Pierre-Simon_Laplace,https://commons.wikimedia.org/wiki/Special:FilePath/Laplace%2C%20Pierre-Simon%2C%20marquis%20de.jpg?download,"https://commons.wikimedia.org/wiki/File:Laplace, Pierre-Simon, marquis de.jpg"
Baudin187,https://fr.wikipedia.org/wiki/Guillaume_Le_Gentil,https://en.wikipedia.org/wiki/Guillaume_Le_Gentil,,
Baudin188,https://fr.wikipedia.org/wiki/Charles-Marie_de_La_Condamine,https://en.wikipedia.org/wiki/Charles_Marie_de_La_Condamine,,
Baudin189,https://fr.wikipedia.org/wiki/Alexis-Marie_de_Rochon,https://en.wikipedia.org/wiki/Alexis-Marie_de_Rochon,,
Baudin190,https://fr.wikipedia.org/wiki/Nicolas-Louis_de_Lacaille,https://en.wikipedia.org/wiki/Nicolas-Louis_de_Lacaille,https://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Louis%20de%20La%20Caille.%20Line%20engraving%20by%20G.%20H.%20Wellcome%20V0003289.jpg?download,https://commons.wikimedia.org/wiki/File:Nicolas Louis de La Caille. Line engraving by G. H. Wellcome V0003289.jpg
Baudin191,https://fr.wikipedia.org/wiki/Jean_Chappe_d%27Auteroche,https://en.wikipedia.org/wiki/Jean-Baptiste_Chappe_d%27Auteroche,https://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Chapp%C3%A9%20d%27Auteroche.%20Line%20engraving%20by%20J.%20B.%20Tilliard%2C%201%20Wellcome%20V0001066.jpg?download,"https://commons.wikimedia.org/wiki/File:Jean Chappé d'Auteroche. Line engraving by J. B. Tilliard, 1 Wellcome V0001066.jpg"
Baudin192,https://fr.wikipedia.org/wiki/Pierre_de_Fermat,https://en.wikipedia.org/wiki/Pierre_de_Fermat,https://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20de%20Fermat%20%28F.%20Poilly%29.jpg?download,https://commons.wikimedia.org/wiki/File:Pierre de Fermat (F. Poilly).jpg
Baudin193,https://fr.wikipedia.org/wiki/Jean-Charles_de_Borda,https://en.wikipedia.org/wiki/Jean-Charles_de_Borda,,
Baudin194,https://fr.wikipedia.org/wiki/Guillaume_Brune,https://en.wikipedia.org/wiki/Guillaume_Brune,https://commons.wikimedia.org/wiki/Special:FilePath/Guillaume%20Marie%20Anne%2C%20comte%20Brune%2C%20marechal%20de%20France.jpg?download,"https://commons.wikimedia.org/wiki/File:Guillaume Marie Anne, comte Brune, marechal de France.jpg"
Baudin195,https://fr.wikipedia.org/wiki/Th%C3%A9ophile-Malo_de_La_Tour_d%27Auvergne-Corret,https://en.wikipedia.org/wiki/Th%C3%A9ophile_Malo_Corret_de_la_Tour_d%27Auvergne,https://commons.wikimedia.org/wiki/Special:FilePath/BOYER%201328%20-%20La%20Tour%20d%27Auvergne.jpg?download,https://commons.wikimedia.org/wiki/File:BOYER 1328 - La Tour d'Auvergne.jpg
Baudin196,https://fr.wikipedia.org/wiki/Ren%C3%A9_Desfontaines,https://en.wikipedia.org/wiki/Ren%C3%A9_Louiche_Desfontaines,https://commons.wikimedia.org/wiki/Special:FilePath/Portrait_of_Rene_Louiche_Desfontaines_Wellcome_L0016366.jpg?download,https://commons.wikimedia.org/wiki/File:Portrait_of_Rene_Louiche_Desfontaines_Wellcome_L0016366.jpg
Baudin197,https://fr.wikipedia.org/wiki/Jean-Baptiste_Joseph_Delambre,https://en.wikipedia.org/wiki/Jean-Baptiste_Joseph_Delambre,https://commons.wikimedia.org/wiki/Special:FilePath/Jean_Babtiste_Joseph_Delambre_AGE_V01_1798.jpg?download,https://commons.wikimedia.org/wiki/File:Jean_Babtiste_Joseph_Delambre_AGE_V01_1798.jpg
Baudin198,https://fr.wikipedia.org/wiki/Fr%C3%A8res_Montgolfier,https://en.wikipedia.org/wiki/Montgolfier_brothers,https://commons.wikimedia.org/wiki/Special:FilePath/Montgolfier%20brothers%20flight.jpg?download,https://commons.wikimedia.org/wiki/File:Montgolfier brothers flight.jpg
Baudin199,,,,
Baudin200,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Alexandre_Fr%C3%A9d%C3%A9ric_de_La_Rochefoucauld-Liancourt,"https://en.wikipedia.org/wiki/Fran%C3%A7ois_Alexandre_Fr%C3%A9d%C3%A9ric,_duc_de_la_Rochefoucauld-Liancourt",https://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Fran%C3%A7ois%20XII%20Alexandre%20Fr%C3%A9d%C3%A9ric%20de%20La%20Rochefoucauld-Liancourt%2C%20RP-P-1910-5956.jpg?download,"https://commons.wikimedia.org/wiki/File:Portret van François XII Alexandre Frédéric de La Rochefoucauld-Liancourt, RP-P-1910-5956.jpg"
